Year,Month,GoldPrice
2000,1,284.32
2000,2,299.86
2000,3,286.39
2000,4,279.69
2000,5,275.19
2000,6,285.73
2000,7,281.59
2000,8,274.47
2000,9,273.68
2000,10,270
2000,11,266.01
2000,12,271.45
2001,1,265.49
2001,2,261.87
2001,3,263.03
2001,4,260.48
2001,5,272.36
2001,6,270.23
2001,7,267.53
2001,8,272.39
2001,9,283.42
2001,10,283.06
2001,11,276.16
2001,12,275.85
2002,1,281.51
2002,2,295.5
2002,3,294.06
2002,4,302.68
2002,5,314.49
2002,6,321.18
2002,7,313.29
2002,8,310.26
2002,9,319.14
2002,10,316.56
2002,11,319.07
2002,12,331.92
2003,1,356.86
2003,2,358.97
2003,3,340.55
2003,4,328.18
2003,5,355.68
2003,6,356.35
2003,7,351.02
2003,8,359.77
2003,9,378.95
2003,10,378.92
2003,11,389.91
2003,12,406.953
2004,1,413.788
2004,2,404.878
2004,3,406.67
2004,4,403.26
2004,5,383.78
2004,6,392.37
2004,7,398.09
2004,8,400.51
2004,9,405.28
2004,10,420.46
2004,11,439.375
2004,12,442.08
2005,1,424.03
2005,2,423.35
2005,3,433.85
2005,4,429.23
2005,5,421.87
2005,6,430.66
2005,7,424.48
2005,8,437.93
2005,9,456.05
2005,10,469.9
2005,11,476.67
2005,12,510.097
2006,1,549.86
2006,2,555
2006,3,557.09
2006,4,610.65
2006,5,675.393
2006,6,596.145
2006,7,633.71
2006,8,632.593
2006,9,598.19
2006,10,585.78
2006,11,627.827
2006,12,629.791
2007,1,631.17
2007,2,664.75
2007,3,654.895
2007,4,679.368
2007,5,667.31
2007,6,655.66
2007,7,665.38
2007,8,665.41
2007,9,712.65
2007,10,754.6
2007,11,806.248
2007,12,803.2
2008,1,889.595
2008,2,922.3
2008,3,968.43
2008,4,909.71
2008,5,888.663
2008,6,889.49
2008,7,939.77
2008,8,839.03
2008,9,829.93
2008,10,806.62
2008,11,760.86
2008,12,816.09
2009,1,858.69
2009,2,943
2009,3,924.27
2009,4,890.2
2009,5,928.645
2009,6,945.67
2009,7,934.23
2009,8,949.38
2009,9,996.59
2009,10,1043.16
2009,11,1127.04
2009,12,1134.724
2010,1,1117.963
2010,2,1095.413
2010,3,1113.337
2010,4,1148.69
2010,5,1205.434
2010,6,1232.92
2010,7,1192.97
2010,8,1215.81
2010,9,1270.98
2010,10,1342.02
2010,11,1369.89
2010,12,1390.55
2011,1,1360.46
2011,2,1374.68
2011,3,1423.26
2011,4,1480.89
2011,5,1512.58
2011,6,1529.36
2011,7,1572.75
2011,8,1759.01
2011,9,1772.14
2011,10,1666.43
2011,11,1739
2011,12,1639.97
2012,1,1654.05
2012,2,1744.82
2012,3,1675.95
2012,4,1649.2
2012,5,1589.04
2012,6,1598.76
2012,7,1594.29
2012,8,1630.31
2012,9,1744.81
2012,10,1746.58
2012,11,1721.64
2012,12,1684.762
2013,1,1671.85
2013,2,1627.57
2013,3,1593.09
2013,4,1487.86
2013,5,1414.03
2013,6,1343.35
2013,7,1285.52
2013,8,1351.742
2013,9,1348.6
2013,10,1316.58
2013,11,1275.86
2013,12,1221.51
2014,1,1244.27
2014,2,1299.58
2014,3,1336.08
2014,4,1298.45
2014,5,1288.74
2014,6,1279.1
2014,7,1310.59
2014,8,1295.13
2014,9,1236.55
2014,10,1222.49
2014,11,1175.33
2014,12,1200.62
2015,1,1250.75
2015,2,1227.08
2015,3,1178.63
2015,4,1198.93
2015,5,1198.63
2015,6,1181.5
2015,7,1128.31
2015,8,1117.93
2015,9,1124.77
2015,10,1159.25
2015,11,1086.44
2015,12,1075.74
2016,1,1097.91
2016,2,1199.5
2016,3,1245.14
2016,4,1242.26
2016,5,1260.95
2016,6,1276.4
2016,7,1336.66
2016,8,1340.17
2016,9,1326.61
2016,10,1266.55
2016,11,1238.35
2016,12,1157.36
2017,1,1192.1
2017,2,1234.2
2017,3,1231.42
2017,4,1266.88
2017,5,1246.04
2017,6,1260.26
2017,7,1236.84
2017,8,1283.04
2017,9,1314.07
2017,10,1279.51
2017,11,1281.9
2017,12,1264.45
2018,1,1331.3
2018,2,1330.73
2018,3,1324.66
2018,4,1334.76
2018,5,1303.45
2018,6,1281.57
2018,7,1237.71
2018,8,1201.71
2018,9,1198.39
2018,10,1215.39
2018,11,1220.65
2018,12,1250.4
2019,1,1291.75
2019,2,1320.07
2019,3,1300.9
2019,4,1285.91
2019,5,1283.7
2019,6,1359.04
2019,7,1412.89
2019,8,1500.41
2019,9,1510.58
2019,10,1494.81
2019,11,1470.79
2019,12,1479.13
2020,1,1560.67
2020,2,1597.1
2020,3,1591.93
2020,4,1683.17
2020,5,1715.91
2020,6,1732.22
2020,7,1846.51
2020,8,1968.63
2020,9,1921.92
2020,10,1900.27
2020,11,1866.3
2020,12,1858.42
2021,1,1866.98
2021,2,1808.17
2021,3,1718.23
2021,4,1760.04
2021,5,1850.26
2021,6,1834.57
2021,7,1807.84
2021,8,1785.28
2021,9,1775.14
2021,10,1776.85
2021,11,1821.76
2021,12,1790.43
2022,1,1816.02
2022,2,1856.3
2022,3,1947.83
2022,4,1936.86
2022,5,1848.5
2022,6,1836.57
2022,7,1732.74
2022,8,1764.56
2022,9,1680.78
2022,10,1664.45
2022,11,1725.07
2022,12,1797.55
